time (milliseconds since 1970-01-01),electron_flux_e1 (e/(cm^2 s sr))
1.4484114E12,2572.679931640625
1.4484117E12,2572.93994140625
1.448412E12,2554.889892578125
1.4484123E12,2561.10009765625
1.4484126E12,2534.4599609375
1.4484129E12,2531.139892578125
1.4484132E12,2487.929931640625
1.4484135E12,2481.550048828125
1.4484138E12,2476.159912109375
1.4484141E12,2474.409912109375
1.4484144E12,2450.610107421875
1.4484147E12,2447.639892578125
1.448415E12,2438.5
1.4484153E12,2420.050048828125
1.4484156E12,2394.360107421875
1.4484159E12,2408.909912109375
1.4484162E12,2402.659912109375
1.4484165E12,2408.7900390625
1.4484168E12,2380.68994140625
1.4484171E12,2368.4599609375
1.4484174E12,2375.2099609375
1.4484177E12,2354.89990234375
1.448418E12,2358.320068359375
1.4484183E12,2349.610107421875
1.4484186E12,2320.64990234375
1.4484189E12,2325.840087890625
1.4484192E12,2320.3798828125
1.4484195E12,2291.449951171875
1.4484198E12,2276.97998046875
1.4484201E12,2241.75
1.4484204E12,2238.5400390625
1.4484207E12,2231.610107421875
1.448421E12,2233.300048828125
1.4484213E12,2223.669921875
1.4484216E12,2218.2099609375
1.4484219E12,2217.7900390625
1.4484222E12,2191.179931640625
1.4484225E12,2176.6201171875
1.4484228E12,2193.93994140625
1.4484231E12,2150.919921875
1.4484234E12,2154.9599609375
1.4484237E12,2179.77001953125
1.448424E12,2149.909912109375
1.4484243E12,2165.300048828125
1.4484246E12,2160.610107421875
1.4484249E12,2176.489990234375
1.4484252E12,2189.659912109375
1.4484255E12,2209.5
1.4484258E12,2201.449951171875
1.4484261E12,2210.7900390625
1.4484264E12,2199.39990234375
1.4484267E12,2212.760009765625
1.448427E12,2209.3798828125
1.4484273E12,2225.179931640625
1.4484276E12,2228.77001953125
1.4484279E12,2217.89990234375
1.4484282E12,2212.590087890625
1.4484285E12,2228.72998046875
1.4484288E12,2223.669921875
1.4484291E12,2225.070068359375
1.4484294E12,2228.219970703125
1.4484297E12,2228.330078125
1.44843E12,2231.969970703125
1.4484303E12,2242.080078125
1.4484306E12,2245.10009765625
1.4484309E12,2275.260009765625
1.4484312E12,2254.0
1.4484315E12,2301.929931640625
1.4484318E12,2310.5400390625
1.4484321E12,2334.429931640625
1.4484324E12,2340.969970703125
1.4484327E12,2354.989990234375
1.448433E12,2363.590087890625
1.4484333E12,2366.530029296875
1.4484336E12,2376.969970703125
1.4484339E12,2356.639892578125
1.4484342E12,2398.8798828125
1.4484345E12,2403.52001953125
1.4484348E12,2384.090087890625
1.4484351E12,2402.4599609375
1.4484354E12,2443.739990234375
1.4484357E12,2408.31005859375
1.448436E12,2452.3701171875
1.4484363E12,2437.06005859375
1.4484366E12,2465.9599609375
1.4484369E12,2471.179931640625
1.4484372E12,2488.030029296875
1.4484375E12,2483.2099609375
1.4484378E12,2517.699951171875
1.4484381E12,2550.260009765625
1.4484384E12,2553.989990234375
1.4484387E12,2578.56005859375
1.448439E12,2597.85009765625
1.4484393E12,2645.030029296875
1.4484396E12,2650.580078125
1.4484399E12,2672.469970703125
1.4484402E12,2715.090087890625
1.4484405E12,2711.469970703125
1.4484408E12,2744.929931640625
1.4484411E12,2746.89990234375
1.4484414E12,2753.8701171875
1.4484417E12,2770.169921875
1.448442E12,2776.050048828125
1.4484423E12,2833.1298828125
1.4484426E12,2902.10009765625
1.4484429E12,2906.580078125
1.4484432E12,2913.360107421875
1.4484435E12,2922.409912109375
1.4484438E12,2963.47998046875
1.4484441E12,3002.68994140625
1.4484444E12,3068.469970703125
1.4484447E12,3075.2900390625
1.448445E12,3070.679931640625
1.4484453E12,3079.72998046875
1.4484456E12,3111.72998046875
1.4484459E12,3108.1298828125
1.4484462E12,3127.139892578125
1.4484465E12,3189.60009765625
1.4484468E12,3221.840087890625
1.4484471E12,3241.929931640625
1.4484474E12,3237.0
1.4484477E12,3264.300048828125
1.448448E12,3239.590087890625
1.4484483E12,3345.64990234375
1.4484486E12,3394.3798828125
1.4484489E12,3342.010009765625
1.4484492E12,3392.60009765625
1.4484495E12,3410.659912109375
1.4484498E12,3424.300048828125
1.4484501E12,3426.85009765625
1.4484504E12,3466.0
1.4484507E12,3520.909912109375
1.448451E12,3558.929931640625
1.4484513E12,3558.610107421875
1.4484516E12,3581.610107421875
1.4484519E12,3583.830078125
1.4484522E12,3609.0400390625
1.4484525E12,3618.1298828125
1.4484528E12,3700.3798828125
1.4484531E12,3696.1298828125
1.4484534E12,3748.080078125
1.4484537E12,3736.8701171875
1.448454E12,3841.68994140625
1.4484543E12,3896.52001953125
1.4484546E12,3914.820068359375
1.4484549E12,3903.2099609375
1.4484552E12,3923.7900390625
1.4484555E12,3971.39990234375
1.4484558E12,4033.080078125
1.4484561E12,4063.070068359375
1.4484564E12,4074.340087890625
1.4484567E12,4099.97021484375
1.448457E12,4103.3798828125
1.4484573E12,4108.740234375
1.4484576E12,4151.7099609375
1.4484579E12,4225.27978515625
1.4484582E12,4214.169921875
1.4484585E12,4228.89990234375
1.4484588E12,4262.64990234375
1.4484591E12,4353.66015625
1.4484594E12,4338.419921875
1.4484597E12,4350.85009765625
1.44846E12,4382.580078125
1.4484603E12,4442.25
1.4484606E12,4428.0
1.4484609E12,4394.0400390625
1.4484612E12,4453.509765625
1.4484615E12,4457.10009765625
1.4484618E12,4528.02978515625
1.4484621E12,4467.7998046875
1.4484624E12,4390.91015625
1.4484627E12,4460.64013671875
1.448463E12,4460.18017578125
1.4484633E12,4450.580078125
1.4484636E12,4445.169921875
1.4484639E12,4453.52978515625
1.4484642E12,4453.5498046875
1.4484645E12,4370.52978515625
1.4484648E12,4447.759765625
1.4484651E12,4464.02001953125
1.4484654E12,4436.4599609375
1.4484657E12,4450.740234375
1.448466E12,4474.509765625
1.4484663E12,4415.89990234375
1.4484666E12,4372.2900390625
1.4484669E12,4463.75
1.4484672E12,4447.60009765625
1.4484675E12,4453.5400390625
1.4484678E12,4453.509765625
1.4484681E12,4453.56005859375
1.4484684E12,4453.52978515625
1.4484687E12,-99999.0
1.448469E12,-99999.0
1.4484693E12,4453.509765625
1.4484696E12,4450.56982421875
1.4484699E12,4487.759765625
1.4484702E12,4477.330078125
1.4484705E12,4463.509765625
1.4484708E12,4447.7998046875
1.4484711E12,4542.990234375
1.4484714E12,4527.47998046875
1.4484717E12,4466.8798828125
1.448472E12,4453.52001953125
1.4484723E12,4453.56982421875
1.4484726E12,4453.5400390625
1.4484729E12,4456.83984375
1.4484732E12,4450.740234375
1.4484735E12,4439.25
1.4484738E12,4422.2099609375
1.4484741E12,4436.93994140625
1.4484744E12,4251.5498046875
1.4484747E12,4245.43017578125
1.448475E12,4334.009765625
1.4484753E12,4270.60986328125
1.4484756E12,4240.830078125
1.4484759E12,4215.27978515625
1.4484762E12,4146.89990234375
1.4484765E12,4156.419921875
1.4484768E12,4103.4501953125
1.4484771E12,4078.8701171875
1.4484774E12,4081.429931640625
1.4484777E12,4090.320068359375
1.448478E12,4097.009765625
1.4484783E12,4029.080078125
1.4484786E12,3903.35009765625
1.4484789E12,3991.97998046875
1.4484792E12,3903.3701171875
1.4484795E12,3890.0400390625
1.4484798E12,3901.2900390625
1.4484801E12,3861.969970703125
1.4484804E12,3833.469970703125
1.4484807E12,3770.669921875
1.448481E12,3743.679931640625
1.4484813E12,3752.7099609375
1.4484816E12,3763.989990234375
1.4484819E12,3648.080078125
1.4484822E12,3652.820068359375
1.4484825E12,3667.7099609375
1.4484828E12,3617.4599609375
1.4484831E12,3620.139892578125
1.4484834E12,3611.929931640625
1.4484837E12,3579.3798828125
1.448484E12,3577.159912109375
1.4484843E12,3572.60009765625
1.4484846E12,3529.419921875
1.4484849E12,3496.9599609375
1.4484852E12,3421.760009765625
1.4484855E12,3386.080078125
1.4484858E12,3431.1201171875
1.4484861E12,3406.22998046875
1.4484864E12,3374.02001953125
1.4484867E12,3395.110107421875
1.448487E12,3376.52001953125
1.4484873E12,3332.449951171875
1.4484876E12,3294.1298828125
1.4484879E12,3275.27001953125
1.4484882E12,3244.1298828125
1.4484885E12,3239.52001953125
1.4484888E12,3148.2099609375
1.4484891E12,3159.169921875
1.4484894E12,3091.1298828125
1.4484897E12,3052.89990234375
1.44849E12,3015.320068359375
1.4484903E12,2973.93994140625
1.4484906E12,2954.6201171875
1.4484909E12,2920.469970703125
1.4484912E12,2917.820068359375
1.4484915E12,2886.39990234375
1.4484918E12,2867.889892578125
1.4484921E12,2797.4599609375
1.4484924E12,2839.6298828125
1.4484927E12,2764.7900390625
1.448493E12,2728.580078125
1.4484933E12,2740.8701171875
1.4484936E12,2698.449951171875
1.4484939E12,2609.4599609375
1.4484942E12,2630.72998046875
1.4484945E12,2609.64990234375
1.4484948E12,2517.449951171875
1.4484951E12,2573.840087890625
1.4484954E12,2552.39990234375
1.4484957E12,2481.340087890625
1.448496E12,2476.169921875
1.4484963E12,2467.72998046875
1.4484966E12,2420.989990234375
1.4484969E12,2385.780029296875
1.4484972E12,2375.340087890625
1.4484975E12,2358.090087890625
1.4484978E12,2334.39990234375
1.4484981E12,2295.050048828125
1.4484984E12,2282.7900390625
1.4484987E12,2254.010009765625
1.448499E12,2224.14990234375
1.4484993E12,2220.989990234375
1.4484996E12,2209.31005859375
1.4484999E12,2190.8701171875
1.4485002E12,2184.429931640625
1.4485005E12,2189.969970703125
1.4485008E12,2166.43994140625
1.4485011E12,2144.280029296875
1.4485014E12,2120.949951171875
1.4485017E12,2118.60009765625
1.448502E12,2115.360107421875
1.4485023E12,2058.72998046875
1.4485026E12,2014.8699951171875
1.4485029E12,2093.949951171875
1.4485032E12,2037.1600341796875
1.4485035E12,2031.3299560546875
1.4485038E12,2040.3299560546875
1.4485041E12,2020.1199951171875
1.4485044E12,2012.719970703125
1.4485047E12,1971.9000244140625
1.448505E12,1994.5899658203125
1.4485053E12,1997.739990234375
1.4485056E12,1954.8599853515625
1.4485059E12,1951.3699951171875
1.4485062E12,1921.8499755859375
1.4485065E12,1865.989990234375
1.4485068E12,1821.510009765625
1.4485071E12,1933.3800048828125
1.4485074E12,1809.97998046875
1.4485077E12,1839.18994140625
1.448508E12,1868.260009765625
1.4485083E12,1807.6199951171875
1.4485086E12,1829.219970703125
1.4485089E12,1802.800048828125
1.4485092E12,1858.0999755859375
1.4485095E12,1807.77001953125
1.4485098E12,1797.780029296875
1.4485101E12,1830.4000244140625
1.4485104E12,1811.22998046875
1.4485107E12,1789.4000244140625
1.448511E12,1818.800048828125
1.4485113E12,1765.77001953125
1.4485116E12,1793.719970703125
1.4485119E12,1815.469970703125
1.4485122E12,1758.93994140625
1.4485125E12,1822.1400146484375
1.4485128E12,1810.81005859375
1.4485131E12,1767.52001953125
1.4485134E12,1805.219970703125
1.4485137E12,1799.4300537109375
1.448514E12,1804.22998046875
1.4485143E12,1880.27001953125
1.4485146E12,1984.9100341796875
1.4485149E12,1968.1800537109375
1.4485152E12,1846.93994140625
1.4485155E12,1967.219970703125
1.4485158E12,1951.0400390625
1.4485161E12,1836.72998046875
1.4485164E12,1996.8800048828125
1.4485167E12,2008.3399658203125
1.448517E12,1972.010009765625
1.4485173E12,1967.6700439453125
1.4485176E12,2004.550048828125
1.4485179E12,2024.2099609375
1.4485182E12,2071.14990234375
1.4485185E12,2036.9100341796875
1.4485188E12,2065.010009765625
1.4485191E12,2106.010009765625
1.4485194E12,2061.909912109375
1.4485197E12,2092.090087890625
1.44852E12,2122.050048828125
1.4485203E12,2097.510009765625
1.4485206E12,2123.739990234375
1.4485209E12,2197.89990234375
1.4485212E12,2126.080078125
1.4485215E12,2134.780029296875
1.4485218E12,2216.3798828125
1.4485221E12,2192.169921875
1.4485224E12,2164.4599609375
1.4485227E12,2223.719970703125
1.448523E12,2210.89990234375
1.4485233E12,2225.0400390625
1.4485236E12,2222.340087890625
1.4485239E12,2226.7900390625
1.4485242E12,2238.419921875
1.4485245E12,2244.0400390625
1.4485248E12,2255.530029296875
1.4485251E12,2254.949951171875
1.4485254E12,2267.719970703125
1.4485257E12,2285.199951171875
1.448526E12,2341.2900390625
1.4485263E12,2376.639892578125
1.4485266E12,2331.449951171875
1.4485269E12,2329.179931640625
1.4485272E12,2494.52001953125
1.4485275E12,2537.330078125
1.4485278E12,2452.47998046875
1.4485281E12,2601.18994140625
1.4485284E12,2547.77001953125
1.4485287E12,2554.080078125
1.448529E12,2615.169921875
1.4485293E12,2585.719970703125
1.4485296E12,2660.719970703125
1.4485299E12,2680.030029296875
1.4485302E12,2647.110107421875
1.4485305E12,2651.139892578125
1.4485308E12,2723.27001953125
1.4485311E12,2687.93994140625
1.4485314E12,2594.580078125
1.4485317E12,2677.2099609375
1.448532E12,2839.93994140625
1.4485323E12,2753.530029296875
1.4485326E12,2746.8701171875
1.4485329E12,2810.580078125
1.4485332E12,2813.31005859375
1.4485335E12,2834.27001953125
1.4485338E12,2877.699951171875
1.4485341E12,2811.110107421875
1.4485344E12,2895.300048828125
1.4485347E12,2896.75
1.448535E12,2908.93994140625
1.4485353E12,2952.7099609375
1.4485356E12,2986.320068359375
1.4485359E12,2950.300048828125
1.4485362E12,3079.7099609375
1.4485365E12,3152.5
1.4485368E12,3183.1298828125
1.4485371E12,3132.35009765625
1.4485374E12,3150.6201171875
1.4485377E12,3241.139892578125
1.448538E12,3223.570068359375
1.4485383E12,3246.0
1.4485386E12,3431.27001953125
1.4485389E12,3415.300048828125
1.4485392E12,3360.7099609375
1.4485395E12,3358.85009765625
1.4485398E12,3593.3701171875
1.4485401E12,3420.52001953125
1.4485404E12,3464.8798828125
1.4485407E12,3595.570068359375
1.448541E12,3516.43994140625
1.4485413E12,3577.030029296875
1.4485416E12,3651.570068359375
1.4485419E12,3709.590087890625
1.4485422E12,3693.3798828125
1.4485425E12,3836.919921875
1.4485428E12,3823.60009765625
1.4485431E12,3872.570068359375
1.4485434E12,3981.8701171875
1.4485437E12,4041.179931640625
1.448544E12,4079.199951171875
1.4485443E12,4138.8701171875
1.4485446E12,4185.25
1.4485449E12,4290.7998046875
1.4485452E12,4163.56982421875
1.4485455E12,4285.52978515625
1.4485458E12,4445.2099609375
1.4485461E12,4397.4501953125
1.4485464E12,4447.58984375
1.4485467E12,4447.75
1.448547E12,4453.56982421875
1.4485473E12,4341.72998046875
1.4485476E12,4398.97021484375
1.4485479E12,4414.89013671875
1.4485482E12,4330.2001953125
1.4485485E12,4436.89990234375
1.4485488E12,4456.85986328125
1.4485491E12,4457.25
1.4485494E12,4483.68994140625
1.4485497E12,4497.27978515625
